Name,Type,Year,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Selling_Price
brio,Car,2015,6.82,31427,Petrol,Dealer,Automatic,5.4
city,Car,2014,9.9,48000,Diesel,Dealer,Manual,7.2
city,Car,2013,9.9,54242,Petrol,Dealer,Manual,5.25
brio,Car,2012,5.35,53675,Petrol,Dealer,Manual,3
city,Car,2016,13.6,49562,Petrol,Dealer,Manual,10.25
city,Car,2015,13.6,40324,Petrol,Dealer,Manual,8.5
city,Car,2015,13.6,25000,Petrol,Dealer,Manual,8.4
amaze,Car,2014,7,36054,Petrol,Dealer,Manual,3.9
city,Car,2016,13.6,29223,Petrol,Dealer,Manual,9.15
brio,Car,2016,5.97,5600,Petrol,Dealer,Manual,5.5
amaze,Car,2015,5.8,40023,Petrol,Dealer,Manual,4
jazz,Car,2016,7.7,16002,Petrol,Dealer,Manual,6.6
amaze,Car,2015,7,40026,Petrol,Dealer,Manual,4
jazz,Car,2017,8.7,21200,Petrol,Dealer,Manual,6.5
amaze,Car,2014,7,35000,Petrol,Dealer,Manual,3.65
city,Car,2016,9.4,19434,Diesel,Dealer,Manual,8.35
brio,Car,2017,5.8,19000,Petrol,Dealer,Manual,4.8
city,Car,2015,10,18828,Petrol,Dealer,Manual,6.7
city,Car,2011,10,69341,Petrol,Dealer,Manual,4.1
city,Car,2009,10,69562,Petrol,Dealer,Manual,3
city,Car,2015,10,27600,Petrol,Dealer,Manual,7.5
jazz,Car,2010,7.5,61203,Petrol,Dealer,Manual,2.25
brio,Car,2014,6.8,16500,Petrol,Dealer,Manual,5.3
city,Car,2016,13.6,30753,Petrol,Dealer,Automatic,10.9
city,Car,2015,13.6,24800,Petrol,Dealer,Manual,8.65
city,Car,2015,13.6,21780,Petrol,Dealer,Manual,9.7
jazz,Car,2016,8.4,4000,Petrol,Dealer,Manual,6
city,Car,2014,13.6,40126,Petrol,Dealer,Manual,6.25
brio,Car,2015,5.9,14465,Petrol,Dealer,Manual,5.25
city,Car,2006,7.6,50456,Petrol,Dealer,Manual,2.1
city,Car,2014,14,63000,Diesel,Dealer,Manual,8.25
city,Car,2016,11.8,9010,Petrol,Dealer,Manual,8.99
brio,Car,2013,5.9,9800,Petrol,Dealer,Manual,3.5
jazz,Car,2016,8.5,15059,Petrol,Dealer,Automatic,7.4
jazz,Car,2016,7.9,28569,Petrol,Dealer,Manual,5.65
amaze,Car,2015,7.5,44000,Petrol,Dealer,Automatic,5.75
city,Car,2015,13.6,34000,Petrol,Dealer,Manual,8.4
city,Car,2016,13.6,10980,Petrol,Dealer,Manual,10.11
amaze,Car,2014,6.4,19000,Petrol,Dealer,Manual,4.5
brio,Car,2015,6.1,31427,Petrol,Dealer,Manual,5.4
jazz,Car,2016,8.4,12000,Petrol,Dealer,Manual,6.4
city,Car,2010,9.9,38000,Petrol,Dealer,Manual,3.25
amaze,Car,2014,6.8,33019,Petrol,Dealer,Manual,3.75
city,Car,2015,13.09,60076,Diesel,Dealer,Manual,8.55
city,Car,2016,11.6,33988,Diesel,Dealer,Manual,9.5
brio,Car,2015,5.9,60000,Petrol,Dealer,Manual,4
city,Car,2009,11,87934,Petrol,Dealer,Manual,3.35
city,Car,2017,12.5,9000,Diesel,Dealer,Manual,11.5
brio,Car,2016,5.9,5464,Petrol,Dealer,Manual,5.3
